Bahnhof;Latitude;Longitude;U1;U2;U3;U4;U5;U6;U7;U8;U9;U55
Oranienburger Tor;52.5256;13.3872;;;;;;1;;;;
Oskar-Helene-Heim;52.4503;13.2661;;;1;;;;;;;
Osloer Str.;52.5569;13.3736;;;;;;;;1;1;
Otisstr.;52.571104;13.303041;;;;;;1;;;;
Pankow;52.567282;13.412143;;1;;;;;;;;
Pankstr.;52.552265;13.381912;;;;;;;;1;;
Paracelsus-Bad;52.5742;13.3492;;;;;;;;1;;
Paradestr.;52.478165;13.386779;;;;;;1;;;;
Parchimer Allee;52.445354;13.449989;;;;;;;1;;;
Paulsternstr.;52.538104;13.248639;;;;;;;1;;;
Platz der Luftbrücke;52.4856;13.3858;;;;;;1;;;;
Podbielskiallee;52.464175;13.295203;;;1;;;;;;;
Potsdamer Platz;52.508769;13.376165;;1;;;;;;;;
Prinzenstr.;52.4983;13.4061;1;;;;;;;;;
Rathaus Neukölln;52.481065;13.435321;;;;;;;1;;;
Rathaus Reinickendorf;52.588217;13.325528;;;;;;;;1;;
Rathaus Schöneberg;52.483319;13.341981;;;;1;;;;;;
Rathaus Spandau;52.535514;13.19984;;;;;;;1;;;
Rathaus Steglitz;52.456428;13.320008;;;;;;;;;1;
Rehberge;52.557;13.341;;;;;;1;;;;
Reinickendorfer Str.;52.54;13.3703;;;;;;1;;;;
Residenzstr.;52.5711;13.3606;;;;;;;;1;;
Richard-Wagner-Platz;52.5169;13.3067;;;;;;;1;;;
Rohrdamm;52.536901;13.262956;;;;;;;1;;;
Rosa-Luxemburg-Platz;52.528201;13.410373;;1;;;;;;;;
Rosenthaler Platz;52.529765;13.401372;;;;;;;;1;;
Rüdesheimer Platz;52.472458;13.31446;;;1;;;;;;;
Rudow;52.4161;13.4953;;;;;;;1;;;
Ruhleben;52.5256;13.2414;;1;;;;;;;;
Samariterstr.;52.5147;13.4644;;;;;1;;;;;
Scharnweberstraße;52.567095;13.311588;;;;;;1;;;;
Schillingstr.;52.520332;13.421981;;;;;1;;;;;
Schlesisches Tor;52.5008;13.4417;1;;;;;;;;;
Schloßstr.;52.4608;13.3244;;;;;;;;;1;
Schönhauser Allee;52.549324;13.415076;;1;;;;;;;;
Schönleinstr.;52.4928;13.4219;;;;;;;;1;;
Schwartzkopffstr.;52.535394;13.37713;;;;;;1;;;;
Seestr.;52.548;13.347;;;;;;1;;;;
Senefelderplatz;52.532619;13.412679;;1;;;;;;;;
Siemensdamm;52.5367;13.2731;;;;;;;1;;;
Sophie-Charlotte-Platz;52.510973;13.297527;;1;;;;;;;;
Spichernstr.;52.496565;13.330671;;;1;;;;;;1;
Spittelmarkt;52.5111;13.4036;;1;;;;;;;;
Stadtmitte;52.5122;13.3894;;1;;;;1;;;;
Strausberger Platz;52.5181;13.4308;;;;;1;;;;;
Südstern;52.4894;13.4078;;;;;;;1;;;
Tempelhof;52.470691;13.385624;;;;;;1;;;;
Theodor-Heuss-Platz;52.5097;13.2731;;1;;;;;;;;
Thielplatz;52.4511;13.2819;;;1;;;;;;;
Tierpark;52.4981;13.5228;;;;;1;;;;;
Turmstr.;52.525935;13.341417;;;;;;;;;1;
Uhlandstr.;52.5025;13.3256;1;;;;;;;;;
Ullsteinstr.;52.453428;13.384835;;;;;;1;;;;
Viktoria-Luise-Platz;52.49607;13.343192;;;;1;;;;;;
Vinetastr.;52.559514;13.413738;;1;;;;;;;;
Voltastr.;52.5422;13.3931;;;;;;;;1;;
Walther-Schreiber-Platz;52.4661;13.3283;;;;;;;;;1;
Warschauer Str.;52.505842;13.449457;1;;;;;;;;;
Weberwiese;52.5167;13.445;;;;;1;;;;;
Wedding;52.542736;13.36596;;;;;;1;;;;
Weinmeisterstr.;52.525;13.405;;;;;;;;1;;
Westhafen;52.536162;13.343486;;;;;;;;;1;
Westphalweg;52.446;13.386;;;;;;1;;;;
Wilmersdorfer Str.;52.505834;13.30695;;;;;;;1;;;
Wittenau;52.595633;13.334618;;;;;;;;1;;
Wittenbergplatz;52.5019;13.3431;1;1;1;;;;;;;
Wuhletal;52.512394;13.57539;;;;;1;;;;;
Wutzkyallee;52.423;13.475;;;;;;;1;;;
Yorckstr.;52.492737;13.370515;;;;;;;1;;;
Zitadelle;52.5378;13.2178;;;;;;;1;;;
Zoologischer Garten;52.507272;13.33227;;1;;;;;;;1;
Zwickauer Damm;52.423022;13.484382;;;;;;;1;;;
